Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2024-09-01,00:14:42,5,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,69,45,86.00,8.00,3.00,3.00,15,105.13,105.67,92.73,15
2024-09-01,00:29:41,5,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,53,45,89.00,4.00,2.00,5.00,15,104.47,106.00,93.20,15
2024-09-01,00:44:42,5,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,60,45,88.00,4.00,6.00,2.00,15,106.93,107.00,91.07,15
2024-09-01,00:59:42,5,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,46,30,87.00,5.00,5.00,3.00,15,106.13,108.00,91.87,15
2024-09-01,01:14:42,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,54,30,93.00,5.00,2.00,0.00,15,103.73,106.33,94.27,15
2024-09-01,01:29:42,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,47,30,90.00,3.00,3.00,4.00,15,103.00,105.00,94.47,15
2024-09-01,01:44:43,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,45,20,95.00,2.00,3.00,0.00,15,102.87,103.67,94.67,15
2024-09-01,01:59:43,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,36,15,83.00,10.00,7.00,0.00,15,100.40,102.00,97.20,15
2024-09-01,02:14:44,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,40,15,76.00,9.00,9.00,6.00,15,102.13,103.33,95.47,15
2024-09-01,02:29:44,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,50,25,97.00,3.00,0.00,0.00,15,104.60,105.00,93.40,15
2024-09-01,02:44:44,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,42,30,82.00,14.00,2.00,2.00,15,103.00,106.33,94.67,15
2024-09-01,02:59:46,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,52,30,85.00,15.00,0.00,0.00,15,102.87,105.67,94.60,15
2024-09-01,03:14:46,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,45,30,85.00,10.00,2.00,3.00,15,104.93,105.00,93.07,15
2024-09-01,03:29:47,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,51,30,86.00,8.00,2.00,4.00,15,105.00,105.00,93.00,15
2024-09-01,03:44:46,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,56,30,84.00,12.00,2.00,2.00,15,106.40,105.00,91.60,15
2024-09-01,03:59:47,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,55,30,100.00,0.00,0.00,0.00,15,104.20,105.33,93.80,15
2024-09-01,04:14:47,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,48,30,84.00,8.00,0.00,8.00,15,105.40,106.00,92.33,15
2024-09-01,04:29:47,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,46,25,93.00,5.00,0.00,2.00,15,103.13,106.00,94.07,15
2024-09-01,04:44:48,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,75,30,89.00,5.00,2.00,4.00,15,103.20,106.33,94.60,15
2024-09-01,04:59:48,6,115030402,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,2713.80370,53.454837041139697 ; -2.035431920235740,53.452886772790201 ; -2.074071032612390,47,30,98.00,2.00,0.00,0.00,15,102.67,104.67,95.20,15
