Model,classical,gbdt,loglinear,nls,nn,rf,svr,tree
M0,-3.8257,-,-3.5458,-2.1067,-,-,-,-
M1,-3.8257,-,-3.5170,-2.0641,-,-,-,-
M2,-,0.2224,-,-,-,0.0799,-,-0.4452
M3,-3.8237,-,-3.5227,-2.0818,-,-,-,-
M4,-,0.2224,-,-,-,0.0799,-,-0.4452
M5,-,0.2471,-,-,0.3075,0.2237,0.2918,0.0459
