Model,classical,gbdt,loglinear,nls,nn,rf,svr,tree
M0,21.64,-,21.17,19.28,-,-,-,-
M1,21.64,-,21.06,19.24,-,-,-,-
M2,-,20.46,-,-,-,20.67,-,21.42
M3,21.63,-,21.12,19.24,-,-,-,-
M4,-,20.46,-,-,-,20.67,-,21.42
M5,-,20.5,-,-,60.77,20.69,14.92,21.31
