Model,classical,gbdt,loglinear,nls,nn,rf,svr,tree
M0,38.01,-,37.78,35.15,-,-,-,-
M1,38.01,-,37.73,35.12,-,-,-,-
M2,-,34.97,-,-,-,35.8,-,37.33
M3,38.01,-,37.75,35.08,-,-,-,-
M4,-,34.97,-,-,-,35.8,-,37.33
M5,-,34.96,-,-,133.29,35.74,33.16,37.05
